Presence of JS,Presence of NS,Presence of internal JS,Number of JS,Number of NS,Number of external JS,Number of internal JS,Presence of image,Presence of iframe,Presence of links,Number of image,Number of iframes,Number of redirects,Number of links,Number of sms API call,Number of tel API call,Number of apk API call,Length of URL,Number of forward slash,Number of question marks,Number of dots,Number of hypens,Number of underscore,Number of equal signs,Number of ampersand,Number of digits,Presence of World Traffic rank,Presence of Country Traffic rank,World Traffic rank,Country Traffic rank,presence of form,No of form,probability0,probability1,Output
1,0,1,2,0,0,2,1,0,1,5,0,0,4,0,0,0,46,4,0,2,0,0,0,0,4,2,2,6001,2145,0,0,0,2,1
1,1,1,42,1,0,42,1,1,1,3,1,0,28,0,1,0,56,7,0,2,0,0,0,0,0,2,0,2658326,0,1,1,0,2,1
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,139,8,1,3,0,0,1,0,40,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,83,6,0,2,0,0,0,0,22,0,0,0,0,0,0,0,2,1
1,0,1,4,0,0,4,0,0,0,0,0,0,0,0,0,0,38,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1
1,1,1,1,1,0,1,1,0,1,2,0,0,26,0,0,0,96,3,1,3,1,0,1,0,18,2,0,2564456,0,1,1,0,2,1
1,0,1,14,0,0,14,1,0,1,60,0,0,147,0,1,0,117,4,1,1,0,6,4,3,21,2,2,233882,41943,1,5,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,7,0,6,0,0,0,0,5,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,6,0,4,0,0,0,0,4,0,0,0,0,0,0,0,2,1
1,0,1,11,0,0,11,1,0,1,1,0,0,1,0,0,0,31,3,0,5,0,0,0,0,0,2,0,1759903,0,1,1,0,2,1
1,0,1,2,0,0,2,1,0,1,5,0,0,6,0,0,0,59,3,0,6,0,0,0,0,3,2,2,6001,2145,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,3,0,2,0,0,0,0,18,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,4,0,5,1,0,0,0,0,0,0,0,0,0,0,0,2,1
1,0,1,11,0,0,11,1,0,1,1,0,0,1,0,0,0,38,3,0,11,0,0,0,0,0,2,0,1759903,0,1,1,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,4,0,5,2,0,0,0,0,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,3,0,2,0,0,0,0,16,0,0,0,0,0,0,0,2,1
1,0,1,11,0,0,11,1,0,1,1,0,0,1,0,0,0,36,3,0,8,0,0,0,0,0,2,0,1759903,0,1,1,0,2,1
1,0,1,2,0,0,2,1,0,1,5,0,0,6,0,0,0,57,3,0,5,4,0,0,0,4,2,2,6001,2145,0,0,0,2,1
0,0,0,0,0,0,0,1,0,1,2,0,0,7,0,3,0,44,4,0,3,0,0,0,0,0,2,2,211659,31481,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,7,0,6,0,0,0,0,5,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,7,1,5,0,0,1,0,0,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,3,0,15,1,0,0,0,0,0,0,0,0,0,0,0,2,1
1,0,1,11,0,0,11,1,0,1,1,0,0,5,0,0,0,45,5,0,2,0,0,0,0,10,2,2,13884,10330,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,1
1,0,1,11,0,0,11,1,0,1,1,0,0,5,0,0,0,44,5,0,2,0,0,0,0,10,2,2,13884,10330,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,1
1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,24,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,2,1
