Presence of JS,Presence of NS,Presence of internal JS,Presence of image,Presence of iframe,Presence of links,Number of JS,Number of NS,Number of internal JS,Number of image,Nuber of iframes,Number of links,Number of sms API call,Number of tel API call,Length of URL,Number of forward slash,Number of question marks,Number of dots,Number of hypens,Number of underscore,Number of equal signs,Number of ampersand,Number of digits,World Traffic rank,Country Traffic rank,probability0,probability1,presence of form,No of form,Output
0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,11,0,1,0,0,0,0,0,3622257,19306,3.14907098738649E-05,0.999968509290139,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,3,0,1,2,0,0,0,0,0,0,0.428653992043333,0.571346007956657,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,6,0,3,1,0,0,0,1,0,0,0.374156284512583,0.625843715487427,0,0,1
0,0,0,1,0,0,0,0,0,2,0,0,0,0,50,7,0,3,0,0,0,0,1,1629550,191903,3.06367609711878E-05,0.999969363239034,1,1,1
1,0,1,1,0,1,2,0,2,4,0,15,0,0,55,3,0,4,2,0,0,0,0,0,0,0.372797281834512,0.627202718165476,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,3,0,2,0,0,0,0,0,0,0,0.425521835064254,0.574478164935743,0,0,1
1,1,1,1,0,1,10,47,10,25,0,998,0,0,60,3,0,1,1,0,0,0,24,0,0,0.999999999993804,6.19916753039972E-12,1,4,1
0,0,0,0,1,0,0,0,0,0,1,0,0,0,23,3,0,1,0,0,0,0,1,9450879,0,1.16092296904009E-28,1,0,0,1
1,0,1,0,0,0,1,0,1,0,0,0,0,0,78,3,1,3,1,0,1,0,17,0,0,0.246607134324111,0.753392865675888,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,5,0,1,4,0,0,0,20,0,0,0.285453319939659,0.714546680060352,0,0,1
0,0,0,0,0,1,0,0,0,0,0,1,0,0,39,2,1,4,0,0,1,0,0,0,0,0.415894022826512,0.584105977173488,0,0,1
1,0,1,0,0,0,4,0,4,0,0,0,0,0,41,3,0,2,0,0,0,0,0,0,0,0.420617603385964,0.579382396614038,0,0,1
1,0,1,1,0,1,2,0,2,4,0,15,0,0,46,3,0,3,2,0,0,0,0,0,0,0.408827940306462,0.591172059693533,1,1,1
1,0,1,1,0,1,2,0,2,4,0,16,0,0,47,3,0,3,2,0,0,0,0,0,0,0.405653405093982,0.594346594906005,1,1,1
1,0,1,1,0,1,2,0,2,4,0,18,0,0,40,3,0,2,1,0,0,0,0,0,0,0.432736774746218,0.567263225253771,1,1,1
1,0,1,0,0,0,4,0,4,0,0,0,0,0,47,3,0,3,1,0,0,0,0,0,0,0.398411060245089,0.601588939754899,0,0,1
1,0,1,0,0,0,4,0,4,0,0,0,0,0,54,3,0,3,2,0,0,0,0,0,0,0.370599224616014,0.629400775383999,0,0,1
