Presence of JS,Presence of NS,Presence of external JS,Presence of internal JS,Presence of image,Presence of iframe,Presence of redirects,Presence of links,Number of JS,Number of NS,Number of external JS,Number of internal JS,Number of image,Nuber of iframes,Number of redirects,Number of links,Number of sms API call,Number of tel API call,Number of apk API call,Number of mms API call,Length of URL,Number of forward slash,Number of question marks,Number of dots,Number of hypens,Number of underscore,Number of equal signs,Number of ampersand,Number of semi-colon,Number of digits,World Traffic rank,Country Traffic rank,probability0,probability1,presence of form,No of form,Output
1,0,0,1,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,54,3,0,3,2,0,0,0,0,0,0,0,0.3705992246160138,0.629400775383999,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,6,0,2,0,0,0,0,0,1,269840,32626,0.39294160295916924,0.6070583970408343,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,4,1,1,0,0,3,2,0,0,0,0,0.3131108655291946,0.6868891344708077,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,3,0,1,0,0,0,0,0,3,3978,1070,0.4638127139222489,0.5361872860777602,0,0,1
1,0,0,1,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,38,3,0,2,1,0,0,0,0,0,0,0,0.4306963686279671,0.5693036313720403,0,0,1
1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,66,3,0,1,9,0,0,0,0,5,0,0,0.30759295995758223,0.6924070400424311,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,3,0,3,1,0,0,0,0,0,0,0,0.40507699194613656,0.594923008053864,0,0,1
1,1,0,1,1,0,0,1,10,47,0,10,25,0,0,998,0,0,0,0,60,3,0,1,1,0,0,0,0,26,0,0,0.9999999999937472,6.253456230154986e-12,1,4,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,5,0,1,0,0,0,0,0,0,0,0,0.4188249421645023,0.5811750578355042,0,0,1
1,0,0,1,1,0,0,1,3,0,0,3,2,0,0,5,0,0,0,0,32,3,0,1,1,0,0,0,0,0,0,0,0.45164764766984006,0.5483523523301562,1,2,1
1,1,0,1,1,0,0,1,36,2,0,36,5,0,0,33,0,1,0,0,112,6,1,2,1,0,0,0,0,0,0,0,0.19597424463335567,0.8040257553666548,0,0,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,172,9,1,3,0,0,1,0,0,63,0,0,0.00871251447808832,0.9912874855219042,0,0,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,139,8,1,3,0,0,1,0,0,41,0,0,0.04056732582355265,0.9594326741764493,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,4,0,2,2,0,0,0,0,0,0,0,0.3830181822497043,0.61698181775029,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,3,1,4,2,0,2,1,0,34,0,0,0.13260755563527069,0.8673924443647217,0,0,1
1,1,0,1,1,0,0,1,1,1,0,1,2,0,0,26,0,0,0,0,96,3,1,3,1,0,1,0,0,18,2564456,0,0.00201236216314552,0.9979876378368612,1,1,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,46,3,0,3,1,0,0,0,0,0,0,0,0.39109849988438083,0.6089015001156204,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,3,0,2,0,0,0,0,0,7,96059,60458,0.29466104599918025,0.7053389540008078,0,0,1
1,0,0,1,0,0,0,1,7,0,0,7,0,0,0,1,0,0,0,0,109,4,0,1,2,0,0,0,0,0,0,0,0.1366385263202453,0.863361473679751,0,0,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,70,6,0,2,0,0,1,0,0,16,2456,34,0.2803639693170463,0.7196360306829515,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,3,0,4,1,0,0,0,0,0,0,0,0.3977325177526796,0.6022674822473336,0,0,1
1,0,0,1,1,0,0,0,2,0,0,2,3,0,0,0,0,0,0,0,69,6,0,3,1,0,0,0,0,0,0,0,0.30279676847862264,0.6972032315213652,1,1,1
1,0,0,1,0,0,0,1,7,0,0,7,0,0,0,4,0,0,0,0,70,3,0,1,11,0,0,0,0,1,0,0,0.3090055362826366,0.6909944637173737,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,3,0,1,0,0,0,0,0,18,0,0,0.2791704708383186,0.7208295291616955,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,3,0,5,1,0,0,0,0,0,0,0,0.36314044280545366,0.6368595571945411,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,5,0,1,4,0,0,0,0,23,0,0,0.282935074510619,0.7170649254893848,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,8,0,2,0,0,0,0,0,0,0,0,0.3034453189085521,0.6965546810914605,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,4,0,2,1,1,0,0,0,17,0,0,0.27945423521999174,0.7205457647800207,0,0,1
1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,38,3,0,2,0,0,0,0,0,0,30758,49426,0.34149009354891197,0.6585099064510892,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3,0,1,0,0,0,0,0,0,0,0,0.46918882816578356,0.5308111718342216,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,3,0,2,0,0,0,0,0,0,0,0,0.4123437386469182,0.5876562613530816,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,3,0,1,0,0,0,0,0,0,0,0,0.4350520712497767,0.5649479287502147,0,0,1
1,0,0,1,0,0,0,1,5,0,0,5,0,0,0,16,0,0,0,0,70,3,0,1,9,0,0,0,0,4,0,0,0.3079200830805752,0.6920799169194143,1,3,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,3,0,4,1,0,0,0,0,0,0,0,0.3713087990647055,0.6286912009353042,0,0,1
1,0,0,1,1,0,0,1,5,0,0,5,1,0,0,29,0,0,0,0,110,13,0,3,1,1,0,0,0,5,0,0,0.13605307056533766,0.86394692943465,1,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,3,0,1,2,0,0,0,0,0,0,0,0.4407051096372908,0.5592948903626976,0,0,1
0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,10,0,0,0,0,46,3,0,7,1,0,0,0,0,6,0,0,0.39166709960461427,0.6083329003953744,1,1,1
1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,48,3,0,3,0,0,0,0,0,1,30758,49426,0.3082268473890516,0.6917731526109591,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,4,0,1,0,0,0,0,0,0,0,0,0.41235052741227474,0.5876494725877122,0,0,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,27,3,0,1,2,0,0,0,0,0,0,0,0.45229008625762007,0.5477099137423873,0,0,1
1,0,0,1,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,30,3,0,1,1,0,0,0,0,0,0,0,0.4556330268983901,0.5443669731016159,0,0,1
1,0,0,1,1,0,0,0,7,0,0,7,1,0,0,0,0,0,0,0,36,4,0,3,0,0,0,0,0,1,0,0,0.44662313245328483,0.5533768675467092,1,1,1
0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,43,3,1,2,1,0,1,0,0,0,0,0,0.40383884339513587,0.5961611566048626,0,0,1
1,0,0,1,1,0,0,1,2,0,0,2,4,0,0,13,0,0,0,0,43,3,0,2,2,0,0,0,0,0,0,0,0.41891169960877733,0.5810883003912299,1,1,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,238,11,1,3,0,0,1,0,0,101,0,0,0.0001588694658385231,0.9998411305341546,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,6,1,3,0,0,1,0,0,0,0,0,0.29915724703734087,0.7008427529626607,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,5,1,1,0,0,2,1,0,0,0,0,0.2907855007002088,0.7092144992997936,0,0,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,70,6,0,2,0,0,0,0,0,4,2456,34,0.28859877190969285,0.7114012280903153,0,0,1
1,1,0,1,0,0,0,0,3,1,0,3,0,0,0,0,0,0,0,0,42,3,0,2,1,0,0,0,0,0,0,0,0.4143482112262267,0.5856517887737801,0,0,1
1,0,0,1,1,0,0,1,2,0,0,2,5,0,0,6,0,0,0,0,51,3,0,2,0,0,0,0,0,3,6001,2145,0.386474123626677,0.6135258763733099,0,0,1
