Number of JS,Number of NS,Number of external JS,Number of internal JS,Number of image,Nuber of iframes,Number of redirects,Number of links,Number of sms API call,Number of tel API call,Number of apk API call,Length of URL,Number of forward slash,Number of question marks,Number of dots,Number of hypens,Number of underscore,Number of equal signs,Number of ampersand,Number of digits,World Traffic rank,Country Traffic rank,No of form,Output
0,0,0,0,1,0,0,2,0,0,0,43,3,1,2,1,0,1,0,0,0,0,0,1
2,0,0,2,4,0,0,13,0,0,0,43,3,0,2,2,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,1,0,0,0,238,11,1,3,0,0,1,0,101,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,68,6,1,3,0,0,1,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,70,5,1,1,0,0,2,1,0,0,0,0,1
0,0,0,0,0,0,0,1,0,0,0,70,6,0,2,0,0,0,0,4,2456,34,0,1
3,1,0,3,0,0,0,0,0,0,0,42,3,0,2,1,0,0,0,0,0,0,0,1
2,0,0,2,5,0,0,6,0,0,0,51,3,0,2,0,0,0,0,3,6001,2145,0,1
15,0,0,15,1,0,0,22,0,0,0,70,6,0,1,1,0,0,0,0,7216921,0,2,1
0,0,0,0,0,0,0,0,0,0,0,28,3,0,2,0,0,0,0,0,0,0,0,1
1,0,0,1,1,0,0,2,0,0,0,30,3,0,2,0,0,0,0,0,0,0,0,1
2,0,0,2,4,0,0,16,0,0,0,38,3,0,2,2,0,0,0,0,0,0,1,1
0,0,0,0,2,0,0,2,0,0,0,70,4,0,1,1,0,1,0,21,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,70,3,1,3,1,0,1,0,7,0,0,0,1
2,0,0,2,5,0,0,4,0,0,0,46,4,0,2,0,0,0,0,4,6001,2145,0,1
42,1,0,42,3,1,0,28,0,1,0,56,7,0,2,0,0,0,0,0,2658326,0,1,1
0,0,0,0,0,0,0,1,0,0,0,139,8,1,3,0,0,1,0,40,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,30,3,0,2,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1,0,0,0,83,6,0,2,0,0,0,0,22,0,0,0,1
4,0,0,4,0,0,0,0,0,0,0,38,3,0,1,1,0,0,0,0,0,0,0,1
1,1,0,1,2,0,0,26,0,0,0,96,3,1,3,1,0,1,0,18,2564456,0,1,1
14,0,0,14,60,0,0,147,0,1,0,117,4,1,1,0,6,4,3,21,233882,41943,5,1
0,0,0,0,0,0,0,0,0,0,0,50,3,0,5,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,73,7,0,6,0,0,0,0,5,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,54,6,0,4,0,0,0,0,4,0,0,0,1
11,0,0,11,1,0,0,1,0,0,0,31,3,0,5,0,0,0,0,0,1759903,0,1,1
2,0,0,2,5,0,0,6,0,0,0,59,3,0,6,0,0,0,0,3,6001,2145,0,1
0,0,0,0,0,0,0,0,0,0,0,61,3,0,2,0,0,0,0,18,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,51,4,0,5,1,0,0,0,0,0,0,0,1
11,0,0,11,1,0,0,1,0,0,0,38,3,0,11,0,0,0,0,0,1759903,0,1,1
0,0,0,0,0,0,0,0,0,0,0,58,4,0,5,2,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,54,5,0,4,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,25,3,0,2,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,69,3,0,2,0,0,0,0,16,0,0,0,1
11,0,0,11,1,0,0,1,0,0,0,36,3,0,8,0,0,0,0,0,1759903,0,1,1
2,0,0,2,5,0,0,6,0,0,0,57,3,0,5,4,0,0,0,4,6001,2145,0,1
0,0,0,0,2,0,0,7,0,3,0,44,4,0,3,0,0,0,0,0,211659,31481,0,1
0,0,0,0,0,0,0,0,0,0,0,73,7,0,6,0,0,0,0,5,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,73,7,1,5,0,0,1,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,29,3,0,1,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,66,3,0,15,1,0,0,0,0,0,0,0,1
11,0,0,11,1,0,0,5,0,0,0,45,5,0,2,0,0,0,0,10,13884,10330,0,1
0,0,0,0,0,0,0,0,0,0,0,55,5,0,4,0,0,0,0,0,0,0,0,1
11,0,0,11,1,0,0,5,0,0,0,44,5,0,2,0,0,0,0,10,13884,10330,0,1
0,0,0,0,0,0,0,0,0,0,0,54,5,0,4,0,0,0,0,0,0,0,0,1
1,0,0,1,0,0,0,0,0,0,0,24,3,0,1,1,0,0,0,1,0,0,0,1
2,0,0,2,5,0,0,6,0,0,0,40,3,0,2,0,0,0,0,3,6001,2145,0,1
11,0,0,11,1,0,0,1,0,0,0,34,3,0,5,0,0,0,0,0,1759903,0,1,1
1,0,0,1,0,0,0,0,0,0,0,24,3,0,1,1,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,73,7,0,6,0,0,0,0,5,0,0,0,1
1,0,0,1,0,0,0,1,0,0,0,42,3,0,2,2,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1,0,0,0,54,5,0,7,0,0,0,0,0,84744,615,0,1
0,0,0,0,0,0,0,0,0,0,0,39,4,0,2,0,0,0,0,0,96346,35974,0,1
29,1,0,29,2,0,0,36,0,0,0,73,7,1,5,1,0,0,0,6,3616084,0,1,1
