Presence of JS,Presence of NS,Presence of external JS,Presence of internal JS,Presence of image,Presence of iframe,Presence of redirects,Presence of links,Number of JS,Number of NS,Number of external JS,Number of internal JS,Number of image,Nuber of iframes,Number of redirects,Number of links,Number of sms API call,Number of tel API call,Number of apk API call,Number of mms API call,Length of URL,Number of forward slash,Number of question marks,Number of dots,Number of hypens,Number of underscore,Number of equal signs,Number of ampersand,Number of semi-colon,Number of digits,World Traffic rank,Country Traffic rank,Output
1,0,0,1,1,0,0,1,53,0,0,53,59,0,0,86,0,0,0,0,22,2,0,2,0,0,0,0,0,0,10,4,0
0,0,0,0,1,0,0,1,0,0,0,0,16,0,0,21,0,0,0,0,21,2,0,1,0,0,0,0,0,0,274,302,0
1,1,0,1,1,1,0,1,8,1,0,8,36,1,0,278,0,1,0,0,23,2,0,1,0,0,0,0,0,0,563,456,0
1,0,0,1,1,0,0,1,16,0,0,16,118,0,0,415,0,0,0,0,19,2,0,1,0,0,0,0,0,0,258,310,0
1,1,0,1,1,1,0,1,4,1,0,4,64,1,0,118,0,0,0,0,17,2,0,1,0,0,0,0,0,0,1483,2807,0
1,0,0,1,1,0,0,1,9,0,0,9,1,0,0,7,0,0,0,0,24,2,0,2,0,0,0,0,0,0,1,1,0
1,0,0,1,0,0,0,1,14,0,0,14,0,0,0,127,0,0,0,0,17,2,0,1,0,0,0,0,0,0,47,23,0
1,0,0,1,1,0,0,1,17,0,0,17,6,0,0,26,0,0,0,0,27,2,0,2,0,0,0,0,0,0,1,1,0
1,1,0,1,1,0,0,1,66,7,0,66,17,0,0,63,0,0,0,0,21,2,0,2,0,0,0,0,0,0,10,4,0
1,1,0,1,1,0,0,1,4,1,0,4,22,0,0,565,0,0,0,0,24,2,0,2,0,0,0,0,0,0,12,8,0
1,1,0,1,1,1,0,1,13,1,0,13,10,1,0,315,0,0,0,0,18,2,0,1,0,0,0,0,0,0,92,67,0
1,1,0,1,1,0,0,1,13,13,0,13,24,0,0,90,0,0,0,0,21,2,0,1,0,0,0,0,0,0,1720,451,0
1,1,0,1,1,0,1,1,135,1,0,135,8,0,1,433,0,0,0,0,18,2,0,1,0,0,0,0,0,0,500,14,0
1,0,0,1,1,1,0,1,8,0,0,8,7,1,0,29,0,0,0,0,16,2,0,1,0,0,0,0,0,0,20,15,0
1,1,0,1,1,1,0,1,102,3,0,102,37,1,0,175,0,0,0,0,14,2,0,1,0,0,0,0,0,0,383,19,0
1,0,0,1,1,0,0,1,57,0,0,57,34,0,0,160,0,0,0,0,19,2,0,1,0,0,0,0,0,0,144,61,0
1,0,0,1,1,0,0,1,15,0,0,15,37,0,0,112,0,0,0,0,27,2,0,2,0,0,0,0,0,0,406,536,0
1,1,0,1,1,1,0,1,25,1,0,25,36,1,0,165,0,0,0,0,16,2,0,1,0,0,0,0,0,0,780,358,0
1,1,0,1,1,0,0,1,4,1,0,4,32,0,0,293,0,0,0,0,24,2,0,2,0,0,0,0,0,0,12,8,0
1,1,0,1,1,0,0,1,36,13,0,36,13,0,0,76,0,1,0,0,17,2,0,1,0,0,0,0,0,0,975,607,0
1,0,0,1,1,0,0,1,21,0,0,21,28,0,0,85,0,0,0,0,17,2,0,1,0,0,0,0,0,0,98798,22938,0
1,1,0,1,1,1,0,1,22,1,0,22,31,1,0,238,0,0,0,0,21,2,0,1,0,0,0,0,0,0,2335,675,0
1,1,0,1,1,0,0,1,7,2,0,7,33,0,0,207,0,0,0,0,25,2,0,1,0,0,0,0,0,0,49,18,0
1,1,0,1,1,1,0,1,9,5,0,9,1,2,0,59,0,0,0,0,19,2,0,2,0,0,0,0,0,0,35,3,0
1,1,0,1,1,0,0,1,56,1,0,56,69,0,0,372,0,0,0,0,19,2,0,1,0,0,0,0,0,0,105,141,0
1,1,0,1,1,1,0,1,21,16,0,21,30,1,0,97,0,0,0,0,18,2,0,2,0,0,0,0,0,0,1007,24,0
1,1,0,1,1,0,0,1,16,1,0,16,3,0,0,14,0,0,0,0,19,2,0,1,0,0,0,0,0,0,2484,1144,0
1,1,0,1,1,1,0,1,10,65,0,10,128,1,0,308,0,0,0,0,23,2,0,1,0,0,0,0,0,0,1328,416,0
1,1,0,1,1,1,0,1,16,2,0,16,73,1,0,278,0,0,0,0,20,2,0,2,0,0,0,0,0,0,1355,111,0
1,1,0,1,1,1,0,1,79,61,0,79,172,1,0,162,0,0,0,0,19,2,0,1,0,0,0,0,0,0,198,142,0
