Presence of JS,Presence of NS,Presence of external JS,Presence of internal JS,Presence of image,Presence of iframe,Presence of redirects,Presence of links,Number of JS,Number of NS,Number of external JS,Number of internal JS,Number of image,Nuber of iframes,Number of redirects,Number of links,Number of sms API call,Number of tel API call,Number of apk API call,Number of mms API call,Length of URL,Number of forward slash,Number of question marks,Number of dots,Number of hypens,Number of underscore,Number of equal signs,Number of ampersand,Number of semi-colon,Number of digits,World Traffic rank,Country Traffic rank,Output
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,3,0,1,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,3,0,2,0,0,0,0,0,0,0,0,1
1,1,0,1,1,0,0,1,10,47,0,10,24,0,0,998,0,0,0,0,60,3,0,1,1,0,0,0,0,18,0,0,1
1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,64,6,0,5,0,0,0,0,0,0,0,0,1
1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,47,3,0,3,0,0,0,0,0,4,6202,1817,1
1,0,0,1,1,0,0,1,2,0,0,2,1,0,0,1,0,0,0,0,50,6,0,2,0,0,0,0,0,0,2240516,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,5,0,1,0,0,0,0,0,4,0,0,1
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,59,5,1,1,0,0,1,0,0,5,0,0,1
1,0,0,1,0,0,0,1,10,0,0,10,0,0,0,2,0,0,0,0,50,6,0,3,1,0,0,0,0,1,0,0,1
1,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,40,4,0,2,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,7,0,1,0,0,0,0,0,17,8959969,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,9,0,2,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,6,0,1,5,8,1,0,0,29,0,0,1
1,0,0,1,1,0,0,1,9,0,0,9,5,0,0,3,0,0,0,0,55,5,0,1,2,0,0,0,0,4,0,0,1
